author,title,sub_title,org_title,org_sub_title,volume,publication_date,org_publication_year,print_format,pages,publisher,cover,language,language_iso,isbn-13,isbn-10,description
Dénis Lindbohm,Bevingaren,,,,,,1980.0,,,Bokád,placeholder.png,,,9789173680462.0,,
Dénis Lindbohm,Blå tornet,,,,,,1985.0,Hardcover,,Delta,placeholder.png,,,9789172283442.0,,
Dénis Lindbohm,Domens Stjärnor,,,,,,1978.0,,,Delta,placeholder.png,,,9789172281974.0,,
Dénis Lindbohm,Domens rötter,,,,,,1983.0,,,Delta,placeholder.png,,,9789172283275.0,,Science fiction-roman.
Dénis Lindbohm,Världsförvist,,,,,,1987.0,Hardcover,,Delta,placeholder.png,,,9789172283671.0,,
Denise Mina,Sista Andetaget,,,,,,2008.0,Hardcover,,Minotaur,placeholder.png,,,9789185283835.0,,
Denise Mina,Vargtimmen,,,,,,2007.0,,,Minotaur,placeholder.png,,,9789185283439.0,,
Dennis Lehane,Den värld som var vår,,World gone by,,,,,,,,placeholder.png,,,9789174295276.0,,
Dennis Lehane,En Drink Före Kriget,,,,,,2006.0,Hardcover,,Bonnier,placeholder.png,,,9789100110536.0,,
Dennis Lehane,En Mörk Välsignelse,,Moonlight Mile,,,,2010.0,Hardcover,,Bonnier,placeholder.png,,,9789100125660.0,,
Dennis Lehane,Ett Land I Gryningen,,,,,,2008.0,,,Bonnier,placeholder.png,,,9789100118402.0,,
Dennis Lehane,"Gone, Baby, Gone",,,,,,2005.0,Hardcover,,Bonnier,placeholder.png,,,9789100108076.0,,
Dennis Lehane,"Mörker, Ta Min Hand",,,,,,2007.0,Hardcover,,Bonnierf,placeholder.png,,,9789143024906.0,,
Dennis Lehane,Patient 67,,,,,,,Hardcover,,,placeholder.png,,,9789143023183.0,,
Dennis Lehane,Rött Regn,,,,,,2001.0,Hardcover,,Bonnier,placeholder.png,,,9789100576493.0,,
Dennis Lehane,Svart Nåd,,,,,,2000.0,,,Bonnier,placeholder.png,,,9789100572013.0,,
Dorothy Leigh Sayers,Naturlig Död?,,,,,,2001.0,,,Bonnier,placeholder.png,,,9789100576301.0,,
